---,Platforms,LocaleString,TermsType,LanguageString,TermsAddress,Notes
33,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Terms of Service,any,/tos/ToS_US_en.json,fallback
34,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,en-US;en-GB,/tos/PP_US_en.json,file ready
35,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,fr,/tos/PCPrivacyPolicy.json,needs loc
36,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,de,/tos/PCPrivacyPolicy.json,needs loc
37,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,it,/tos/PCPrivacyPolicy.json,needs loc
38,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,ru,/tos/PCPrivacyPolicy.json,needs loc
39,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,pt-BR,/tos/PCPrivacyPolicy.json,needs loc
40,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,es,/tos/PCPrivacyPolicy.json,needs loc
41,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,zh-Hans,/tos/PCPrivacyPolicy.json,needs loc
42,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,zh-Hant,/tos/PCPrivacyPolicy.json,needs loc
43,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,ja,/tos/PCPrivacyPolicy.json,needs loc
44,any,ar;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans,Privacy Policy,any,/tos/PP_US_en.json,fallback
