---,Platforms,LocaleString,TermsType,LanguageString,TermsAddress,Notes
1,"","any","TermsOfService","en;en-US;en-GB","tos/ToS_GL_en.json","json ready"
2,"","any","TermsOfService","fr","tos/ToS_GL_fr-FR.json","json ready"
3,"","any","TermsOfService","de","tos/ToS_GL_de-DE.json","json ready"
4,"","any","TermsOfService","it","tos/ToS_GL_it-IT.json","json ready"
5,"","any","TermsOfService","ru","tos/ToS_GL_ru.json","json ready"
6,"","any","TermsOfService","pt-BR","tos/ToS_GL_pt-BR.json","json ready"
7,"","any","TermsOfService","es","tos/ToS_GL_es.json","json ready"
8,"","any","TermsOfService","zh-Hans","tos/ToS_GL_zh-Hans.json","json ready"
9,"","any","TermsOfService","zh-Hant","tos/ToS_GL_zh-Hant-TW.json","json ready"
10,"","any","TermsOfService","ja","tos/ToS_GL_ja.json","json ready"
11,"","any","TermsOfService","any","tos/ToS_GL_en.json","fallback"
12,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","en;en-US;en-GB","tos/PP_EU_en.json","json ready"
13,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","fr","tos/PP_EU_fr-FR.json","json ready"
14,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","de","tos/PP_EU_de-DE.json","json ready"
15,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","it","tos/PP_EU_it-IT.json","json ready"
16,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","ru","tos/PP_EU_ru.json","json ready"
17,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","pt-BR","tos/PP_EU_pt-BR.json","json ready"
18,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","es","tos/PP_EU_es.json","json ready"
19,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","zh-Hans","tos/PP_EU_zh-Hans.json","json ready"
20,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","zh-Hant","tos/PP_EU_zh-Hant-TW.json","json ready"
21,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","ja","tos/PP_EU_ja.json","json ready"
22,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","any","tos/PP_EU_en.json","fallback"
23,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","en;en-US;en-GB","tos/PP_US_en.json","json ready"
24,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","fr","tos/PP_US_fr-FR.json","json ready"
25,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","de","tos/PP_US_de-DE.json","json ready"
26,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","it","tos/PP_US_it-IT.json","json ready"
27,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","ru","tos/PP_US_ru.json","json ready"
28,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","pt-BR","tos/PP_US_pt-BR.json","json ready"
29,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","es","tos/PP_US_es.json","json ready"
30,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","zh-Hans","tos/PP_US_zh-Hans.json","json ready"
31,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","zh-Hant","tos/PP_US_zh-Hant-TW.json","json ready"
32,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","ja","tos/PP_US_ja.json","json ready"
33,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","any","tos/PP_US_en.json","fallback"
34,"","any","PrivacyPolicy","any","tos/PP_US_en.json","conditionless PP fallback"
35,"","any","TermsOfService","any","tos/PP_US_en.json","conditionless ToS fallback"
